epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,15628.3,0.29132,0.3716,0.07543,0.88713,0.83928,0.89419,0.62756,0.26333,0.35405,0.08669,0.000848969,0.000848969,0.000848969
43,15990.1,0.29311,0.37177,0.07396,0.8856,0.84817,0.89798,0.63098,0.25885,0.34831,0.08576,0.000834822,0.000834822,0.000834822
44,16352.1,0.29025,0.36976,0.07479,0.91017,0.84712,0.90439,0.6388,0.25393,0.34923,0.0828,0.000820675,0.000820675,0.000820675
45,16714.1,0.29014,0.36926,0.07255,0.89531,0.85169,0.899,0.63318,0.25501,0.34537,0.08279,0.000806528,0.000806528,0.000806528
46,17075.8,0.28423,0.36469,0.07353,0.8934,0.85449,0.90235,0.63699,0.2566,0.34303,0.08254,0.00079238,0.00079238,0.00079238
47,17437.9,0.28508,0.36539,0.07241,0.90156,0.8579,0.90861,0.64067,0.2532,0.34417,0.08226,0.000778233,0.000778233,0.000778233
48,17800.1,0.28369,0.36323,0.07137,0.8931,0.8562,0.90503,0.64035,0.25175,0.34594,0.08252,0.000764086,0.000764086,0.000764086
49,18161.5,0.2805,0.36429,0.07167,0.89298,0.86136,0.91183,0.65013,0.25007,0.34246,0.08041,0.000749939,0.000749939,0.000749939
50,18522.6,0.27827,0.36067,0.0703,0.90787,0.85947,0.91098,0.65095,0.24854,0.33931,0.08074,0.000735792,0.000735792,0.000735792
51,18883.9,0.27544,0.35693,0.06918,0.91074,0.85356,0.91035,0.64504,0.2495,0.34283,0.0808,0.000721645,0.000721645,0.000721645
52,19245.2,0.27865,0.35945,0.06946,0.90557,0.85755,0.91111,0.64875,0.25047,0.34145,0.08225,0.000707498,0.000707498,0.000707498
53,19607.1,0.2712,0.349,0.06798,0.91512,0.86382,0.91415,0.65751,0.24359,0.33545,0.07818,0.000693351,0.000693351,0.000693351
